bedrooms,bathrooms,square_feet,home_value,year,taxes,fips_number
2.0,2.0,1574,728162.0,1937,8402.2,6037
2.0,1.0,1034,175643.0,1924,2165.1,6037
4.0,2.0,1722,348956.0,1961,4238.44,6037
3.0,2.0,1961,812199.0,1948,9568.47,6037
3.0,2.0,1237,471166.0,1944,5610.38,6037
5.0,4.0,3316,1232902.0,1999,14151.8,6037
4.0,3.0,1797,564000.0,1999,6931.53,6037
5.0,5.0,4347,1094679.0,2000,13254.63,6037
3.0,3.0,1814,364079.0,1999,4644.34,6037
3.0,4.0,2631,573935.0,2000,7727.53,6037
3.0,2.0,2716,564770.0,1934,6852.69,6037
6.0,4.0,4026,641000.0,2003,8756.75,6037
5.0,5.0,3773,703135.0,2000,10799.7,6037
4.0,2.0,1882,452425.0,1973,5659.19,6037
3.0,3.0,1594,71026.0,1959,1050.91,6037
3.0,2.0,1560,92452.0,1961,1399.26,6037
4.0,3.0,1920,532197.0,1989,6478.86,6037
4.0,3.0,2600,312139.0,1993,3920.81,6037
4.0,2.0,1951,292380.0,1962,3716.61,6037
4.0,3.0,2095,315407.0,1960,3994.77,6037
3.0,2.0,1144,500000.0,1959,6093.98,6037
4.0,2.0,1676,308247.0,1958,3952.18,6037
4.0,2.0,1818,453638.0,1969,5632.76,6037
3.0,2.0,1507,431694.0,1957,5380.58,6037
3.0,2.0,1349,471565.0,1957,5846.4,6037
3.0,2.0,1431,504579.0,1958,6280.69,6037
4.0,2.0,1576,482243.0,1959,5903.26,6037
3.0,2.0,1160,378789.0,1957,4745.19,6037
4.0,2.0,1362,219906.0,1957,2688.61,6037
3.0,2.0,1570,487013.0,1958,5880.95,6037
5.0,3.0,1973,83822.0,1960,1156.29,6037
3.0,2.0,1811,565918.0,1957,7014.11,6037
3.0,2.0,1165,545000.0,1958,6713.03,6037
3.0,3.0,2830,1030759.0,2000,12520.66,6037
5.0,3.0,2452,392901.0,1999,7386.43,6037
4.0,3.0,2835,538128.0,2002,8787.62,6037
5.0,5.0,3562,695185.0,2000,10699.38,6037
4.0,3.0,2462,517247.0,2002,7036.38,6037
4.0,3.0,2404,413679.0,2000,5925.07,6037
4.0,4.0,3216,897000.0,2000,11221.82,6037
5.0,3.0,3482,407565.0,2000,5832.01,6037
4.0,3.0,3482,461867.0,2000,6571.8,6037
3.0,3.0,2788,526050.0,2001,7086.04,6037
4.0,2.0,1838,297000.0,2001,4522.46,6037
5.0,3.0,2376,238356.0,2000,3757.53,6037
5.0,3.0,3232,328138.0,2000,4733.15,6037
3.0,3.0,2384,228979.0,2002,4435.23,6037
4.0,3.0,2936,227601.0,2002,4727.02,6037
4.0,5.0,3643,1116900.0,1922,13004.71,6037
4.0,3.0,1368,245374.0,1999,3090.69,6037
3.0,2.0,1562,280861.0,2002,3470.17,6037
4.0,2.0,1512,210014.0,2001,2704.81,6037
4.0,3.0,2208,257128.0,2001,3471.29,6037
